License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
2004,314,N,635,3520,6,166,124,39,2,7,159,13,40,71
2004,314,R,1746,8728,5,372,120,233,19,9,363,29,44,43
2004,314,SUM,2381,12249,5,537,244,272,20,16,522,42,85,114
2005,314,N,358,2114,6,157,109,38,10,13,139,8,57,44
2005,314,R,1518,8345,6,493,159,307,25,14,473,46,55,58
2005,314,SUM,1876,10459,6,650,268,345,35,27,612,53,112,102
2006,314,N,355,1926,5,128,98,26,0,8,113,4,53,42
2006,314,R,1507,8837,6,408,180,203,22,15,390,18,96,65
2006,314,SUM,1862,10764,6,536,278,229,22,22,503,22,149,107
2007,314,N,368,2248,6,128,81,44,3,10,118,10,20,51
2007,314,R,2042,12105,6,787,212,532,43,33,754,24,102,86
2007,314,SUM,2409,14353,6,916,293,576,47,43,872,34,122,137
2008,314,N,365,1967,5,103,61,39,3,21,82,0,36,26
2008,314,R,2089,13498,7,692,97,568,27,31,662,3,61,33
2008,314,SUM,2454,15465,6,795,158,608,30,52,744,3,96,59
2009,314,N,306,1796,6,98,41,48,9,3,95,0,26,15
2009,314,R,1631,9976,6,475,113,353,9,21,454,3,54,56
2009,314,SUM,1937,11772,6,573,154,402,18,24,549,3,80,70
2010,314,N,404,2458,6,154,95,57,2,19,135,0,21,74
2010,314,R,1490,11526,8,574,138,405,30,19,554,0,55,83
2010,314,SUM,1894,13984,7,728,234,461,33,38,690,0,76,157
2011,314,N,382,2488,7,92,51,39,3,6,87,0,25,25
2011,314,R,1404,8703,6,252,69,183,0,14,238,0,30,39
2011,314,SUM,1786,11191,6,344,120,221,3,20,324,0,56,64
2012,314,N,291,1761,6,77,64,12,2,13,64,0,17,47
2012,314,R,1105,7492,7,205,118,79,8,25,180,0,46,72
2012,314,SUM,1397,9252,7,282,182,90,10,38,245,0,63,119
2013,314,N,0,0,0,107,102,5,0,5,103,0,30,71
2013,314,R,0,0,0,162,86,76,0,11,152,3,28,56
2013,314,SUM,0,0,0,269,188,81,0,15,254,3,58,127
2014,314,N,267,1643,6,119,91,28,0,20,99,0,26,65
2014,314,R,1177,7571,6,350,113,211,27,19,332,3,51,59
2014,314,SUM,1443,9213,6,470,204,239,27,38,431,3,76,124
2015,314,N,324,2271,7,107,80,21,6,21,86,3,18,60
2015,314,R,1012,6823,7,299,133,155,12,20,279,0,49,85
2015,314,SUM,1335,9094,7,407,214,175,18,41,365,3,66,144
2016,314,N,312,2291,7,106,83,23,0,16,90,0,38,45
2016,314,R,1091,6759,6,226,119,104,3,24,202,0,47,72
2016,314,SUM,1403,9050,7,332,202,127,3,40,292,0,85,117
2017,314,N,0,0,0,113,88,26,0,14,99,0,30,58
2017,314,R,0,0,0,317,145,163,9,43,274,0,49,96
2017,314,SUM,0,0,0,430,232,189,9,57,373,0,79,154
2018,314,N,401,2448,6,164,130,28,6,17,147,0,60,71
2018,314,R,1306,8433,7,401,169,217,16,28,373,0,99,70
2018,314,SUM,1707,10881,6,565,299,245,21,45,520,0,158,140
2019,314,N,0,0,0,103,69,34,0,20,83,0,37,31
2019,314,R,0,0,0,332,128,195,9,24,308,0,76,51
2019,314,SUM,0,0,0,435,196,230,9,44,391,0,114,83
